date,game_code,game_time,game_status,lineup_status,team,team_code,player_type,player_id,name,batting_order,position,batting_hand,throwing_hand,role
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,pitcher,55536,데이비슨,0,투수,,좌투,선발투수
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,50500,황성빈,1,중견수,좌타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,69517,고승민,2,2루수,좌타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,51551,나승엽,3,1루수,좌타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,54529,레이예스,4,좌익수,양타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,52591,윤동희,5,우익수,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,78513,전준우,6,지명타자,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,50150,손호영,7,3루수,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,68205,전민재,8,유격수,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,68518,정보근,9,포수,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,pitcher,62869,문승원,0,투수,,우투,선발투수
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,50854,최지훈,1,중견수,좌타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,54812,정준재,2,2루수,좌타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,67893,박성한,3,유격수,좌타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,53827,에레디아,4,좌익수,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,60558,오태곤,5,1루수,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,79456,이지영,6,포수,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,51868,고명준,7,지명타자,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,54805,박지환,8,3루수,우타,,선발타자
2025-03-25,20250325LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,69813,하재훈,9,우익수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,pitcher,66920,최성영,0,투수,,좌투,선발투수
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,62907,박민우,1,2루수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,51907,김주원,2,유격수,양타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,77532,손아섭,3,지명타자,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,54944,데이비슨,4,1루수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,79215,박건우,5,우익수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,63963,권희동,6,좌익수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,62244,박세혁,7,포수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,51344,김휘집,8,3루수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,62934,김성욱,9,중견수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,pitcher,65320,최원태,0,투수,,우투,선발투수
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,50458,김지찬,1,중견수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,52415,이재현,2,유격수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,62404,구자욱,3,좌익수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,74540,강민호,4,포수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,54400,디아즈,5,1루수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,75125,박병호,6,지명타자,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,52430,김영웅,7,3루수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,61404,김헌곤,8,우익수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,62234,류지혁,9,2루수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,pitcher,67263,최원준,0,투수,,,선발투수
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,53554,김민석,1,좌익수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,78224,김재환,2,지명타자,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,63123,강승호,3,3루수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,55208,케이브,4,우익수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,76232,양의지,5,포수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,64153,양석환,6,1루수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,50208,오명진,7,2루수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,67207,이유찬,8,유격수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,79231,정수빈,9,중견수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,pitcher,64001,고영표,0,투수,,,선발투수
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,68050,강백호,1,지명타자,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,67025,로하스,2,우익수,양타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,79240,허경민,3,3루수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64004,김민혁,4,좌익수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,78548,장성우,5,포수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,50054,천성호,6,2루수,좌타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,76313,황재균,7,1루수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64166,배정대,8,중견수,우타,,선발타자
2025-03-25,20250325OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,79402,김상수,9,유격수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,pitcher,54319,김윤하,0,투수,,우투,선발투수
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,65357,송성문,1,2루수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,52366,푸이그,2,지명타자,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,50167,이주형,3,중견수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,54444,카디네스,4,우익수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,76267,최주환,5,1루수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,53344,김동헌,6,포수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,50357,박주홍,7,좌익수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,64984,김태진,8,유격수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,55392,어준서,9,3루수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,pitcher,55633,올러,0,투수,,우투,선발투수
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,64646,박찬호,1,유격수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,55645,위즈덤,2,3루수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,62947,나성범,3,우익수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,72443,최형우,4,지명타자,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78603,김선빈,5,2루수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,63260,이우성,6,좌익수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78168,서건창,7,1루수,좌타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78122,김태군,8,포수,우타,,선발타자
2025-03-25,20250325WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,66606,최원준,9,중견수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,pitcher,65056,엄상백,0,투수,,,선발투수
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,66704,김태연,1,좌익수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,53764,문현빈,2,지명타자,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,55734,플로리얼,3,중견수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,69737,노시환,4,3루수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,79192,채은성,5,1루수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,54795,황영묵,6,2루수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,50704,임종찬,7,우익수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,76812,이재원,8,포수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,한화,HH,batter,64006,심우준,9,유격수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,pitcher,61101,임찬규,0,투수,,우투,선발투수
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,66108,홍창기,1,우익수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,68119,문성주,2,좌익수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,53123,오스틴,3,1루수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,69102,문보경,4,3루수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,79109,오지환,5,유격수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,76290,김현수,6,지명타자,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,79365,박동원,7,포수,우타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,62415,박해민,8,중견수,좌타,,선발타자
2025-03-26,20250326HHLG02025,"경기 시간
18:30",종료,confirmed,LG,LG,batter,65207,신민재,9,2루수,좌타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,pitcher,51516,김진욱,0,투수,,좌투,선발투수
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,50500,황성빈,1,중견수,좌타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,52591,윤동희,2,우익수,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,50150,손호영,3,3루수,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,54529,레이예스,4,좌익수,양타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,51551,나승엽,5,1루수,좌타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,78513,전준우,6,지명타자,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,68205,전민재,7,2루수,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,62802,박승욱,8,유격수,좌타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,롯데,LT,batter,68518,정보근,9,포수,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,pitcher,53898,송영진,0,투수,,우투,선발투수
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,50854,최지훈,1,중견수,좌타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,54812,정준재,2,2루수,좌타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,60558,오태곤,3,1루수,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,53827,에레디아,4,좌익수,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,69813,하재훈,5,우익수,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,67893,박성한,6,유격수,좌타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,79456,이지영,7,포수,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,51868,고명준,8,지명타자,우타,,선발타자
2025-03-26,20250326LTSK02025,"경기 시간
18:30",종료,confirmed,SSG,SK,batter,54805,박지환,9,3루수,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,pitcher,68902,신민혁,0,투수,,우투,선발투수
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,62907,박민우,1,2루수,좌타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,51907,김주원,2,유격수,양타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,77532,손아섭,3,우익수,좌타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,54944,데이비슨,4,1루수,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,79215,박건우,5,중견수,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,63963,권희동,6,좌익수,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,68912,김형준,7,포수,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,50903,한재환,8,지명타자,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,69995,서호철,9,3루수,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,pitcher,51454,이승현,0,투수,,좌투,선발투수
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,50458,김지찬,1,중견수,좌타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,52415,이재현,2,유격수,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,62404,구자욱,3,좌익수,좌타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,74540,강민호,4,포수,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,54400,디아즈,5,지명타자,좌타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,52430,김영웅,6,3루수,좌타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,75125,박병호,7,1루수,우타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,62234,류지혁,8,2루수,좌타,,선발타자
2025-03-26,20250326NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,68463,윤정빈,9,우익수,좌타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,pitcher,51264,최승용,0,투수,,좌투,선발투수
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,53554,김민석,1,좌익수,좌타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,78224,김재환,2,지명타자,좌타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,63123,강승호,3,3루수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,55208,케이브,4,우익수,좌타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,76232,양의지,5,포수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,64153,양석환,6,1루수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,66928,박준영,7,유격수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,50208,오명진,8,2루수,좌타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,두산,OB,batter,79231,정수빈,9,중견수,좌타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,pitcher,50030,소형준,0,투수,,우투,선발투수
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,68050,강백호,1,지명타자,좌타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,67025,로하스,2,우익수,양타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,79240,허경민,3,3루수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64004,김민혁,4,좌익수,좌타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,78548,장성우,5,포수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,76313,황재균,6,1루수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64504,오윤석,7,2루수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,64166,배정대,8,중견수,우타,,선발타자
2025-03-26,20250326OBKT02025,"경기 시간
18:30",종료,confirmed,KT,KT,batter,79402,김상수,9,유격수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,pitcher,55313,정현우,0,투수,,좌투,선발투수
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,52366,푸이그,1,좌익수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,50167,이주형,2,중견수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,54444,카디네스,3,우익수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,65357,송성문,4,2루수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,76267,최주환,5,1루수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,55397,전태현,6,지명타자,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,55393,여동욱,7,3루수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,62332,김재현,8,포수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,키움,WO,batter,78756,오선진,9,유격수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,pitcher,53613,윤영철,0,투수,,좌투,선발투수
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,66606,최원준,1,중견수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,55645,위즈덤,2,1루수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,62947,나성범,3,우익수,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,72443,최형우,4,지명타자,좌타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78603,김선빈,5,2루수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,63260,이우성,6,좌익수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,69727,변우혁,7,3루수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,78122,김태군,8,포수,우타,,선발타자
2025-03-26,20250326WOHT02025,"경기 시간
18:30",종료,confirmed,KIA,HT,batter,52667,윤도현,9,유격수,우타,,선발타자
